ax,ay,az,gx,gy,gz,mx,my,mz
0.0,0.03,9.81,-0.00144,0.09827,-0.00056,22.2106,-5.03828,40.55079
0.00157,0.02999,9.81126,0.00458,0.09732,-0.00077,22.03477,-4.93031,41.34907
0.00314,0.02998,9.81251,0.00908,0.10109,-0.00306,21.6956,-4.9261,41.39332
0.00471,0.02995,9.81375,0.00419,0.0989,0.0036,21.56394,-5.09368,41.14711
0.00627,0.02991,9.81497,0.01376,0.09752,0.00314,22.07446,-4.7653,40.66603
0.00782,0.02987,9.81618,0.01196,0.08474,-0.01153,21.81793,-5.27474,41.2628
0.00937,0.02981,9.81736,0.01418,0.08765,0.00612,21.69934,-5.02587,40.91183
0.01091,0.02974,9.81852,0.00993,0.10797,0.00539,22.10497,-4.80502,41.14355
0.01243,0.02966,9.81964,0.00377,0.09254,0.00016,22.1498,-5.07503,41.70073
0.01395,0.02957,9.82072,0.00309,0.08865,0.00667,22.42655,-4.84829,41.25075
0.01545,0.02947,9.82176,0.0268,0.09862,-0.00398,21.84038,-4.71413,40.5669
0.01694,0.02936,9.82275,0.01411,0.102,0.00188,22.21709,-4.82577,41.69642
0.01841,0.02924,9.82369,0.02122,0.09327,0.00096,21.75053,-4.71432,40.82995
0.01986,0.0291,9.82458,0.01556,0.10674,0.00046,21.9119,-5.55239,40.67526
0.02129,0.02896,9.82541,0.01182,0.10329,0.01036,21.99446,-4.92159,41.05039
0.0227,0.02881,9.82618,0.02959,0.10794,0.00607,21.69672,-4.72898,41.11431
0.02409,0.02865,9.82689,0.03224,0.09857,0.01478,21.89234,-4.52208,41.03454
0.02545,0.02847,9.82753,0.01604,0.08743,0.00458,22.427,-4.75509,41.20667
0.02679,0.02829,9.8281,-0.00133,0.10567,0.00842,21.83502,-5.18822,40.99931
0.0281,0.0281,9.8286,0.0409,0.08785,0.00382,22.40854,-5.13385,40.89072
0.02939,0.02789,9.82902,0.02585,0.08582,0.00737,21.63711,-4.73444,41.00095
0.03065,0.02768,9.82937,0.04892,0.10086,0.01341,21.60902,-5.03664,41.09694
0.03187,0.02746,9.82965,0.04475,0.08105,0.01184,22.17741,-4.53994,41.21372
0.03307,0.02722,9.82984,0.02902,0.09244,0.00096,22.05863,-5.05751,41.60608
0.03423,0.02698,9.82996,0.02359,0.10066,-0.00033,21.88136,-4.92166,41.24719
0.03536,0.02673,9.83,0.04538,0.0968,0.00224,22.13736,-4.8449,41.1475
0.03645,0.02647,9.82996,0.02509,0.10835,0.00857,22.20995,-4.61778,41.18278
0.03751,0.0262,9.82984,0.03615,0.11831,0.00966,21.91121,-4.96641,41.44483
0.03853,0.02592,9.82965,0.03565,0.10173,0.01473,21.84614,-5.51797,41.08983
0.03951,0.02563,9.82937,0.03794,0.09021,0.01342,22.18227,-5.2985,41.15547
0.04045,0.02533,9.82902,0.03485,0.0812,0.01163,21.98644,-5.22358,41.15688
0.04135,0.02502,9.8286,0.04286,0.08999,0.01168,22.30452,-5.2138,41.11427
0.04222,0.02471,9.8281,0.03916,0.11815,0.00067,22.20859,-5.09187,40.96994
0.04304,0.02438,9.82753,0.05931,0.09512,0.0215,21.86736,-4.89485,40.85275
0.04382,0.02405,9.82689,0.03453,0.09553,0.00919,22.06075,-5.63151,41.60074
0.04455,0.0237,9.82618,0.04091,0.11204,0.00587,22.08776,-4.05052,40.73908
0.04524,0.02335,9.82541,0.02876,0.08883,0.01358,22.208,-4.61289,40.9229
