range_mm,ambient_lux
121,494.5
119,497.4
123,504.6
120,504.6
121,499.9
122,504.9
121,494.5
122,499.6
119,497.2
121,501.3
123,500.2
123,499.5
124,503.5
124,508.8
122,493.8
123,505.9
124,503.6
120,498.0
125,506.2
123,504.2
123,496.8
125,503.7
126,506.4
129,507.6
125,507.7
123,503.6
128,506.7
128,512.9
125,507.5
127,509.2
127,507.7
130,507.0
127,502.2
126,509.3
131,503.1
125,501.2
129,499.8
125,502.4
125,506.4
128,505.2
132,500.5
125,505.0
131,498.1
129,503.7
130,502.5
136,504.3
131,503.4
126,512.8
125,512.8
129,499.4
132,517.3
133,505.5
131,509.8
132,510.2
129,509.4
134,500.1
131,506.3
133,508.6
131,502.9
138,503.2
133,506.7
134,513.7
134,512.1
133,511.8
135,507.2
135,510.9
133,503.4
140,510.9
135,511.8
136,497.4
137,508.2
137,505.0
137,514.8
137,507.0
138,507.3
140,508.5
139,506.0
136,513.3
139,513.0
140,502.6
139,500.0
140,504.7
140,513.9
138,510.3
142,502.3
141,511.3
142,502.5
140,516.4
143,507.2
140,520.4
138,511.1
141,512.3
139,516.4
143,520.8
140,509.4
144,521.0
142,504.4
142,517.0
144,517.9
147,510.3
141,506.5
143,517.8
147,513.9
144,512.3
146,509.2
144,512.8
144,522.4
143,525.7
143,509.5
143,516.9
145,519.4
144,505.6
145,515.5
143,513.7
147,510.3
144,509.0
146,516.8
152,520.5
144,507.1
146,522.8
148,512.4
149,522.1
150,510.0
148,509.0
146,509.2
147,508.5
150,515.8
146,518.4
151,517.8
147,514.8
148,512.8
145,514.6
151,512.4
145,516.2
152,508.2
150,519.0
151,519.9
151,509.3
151,524.2
150,519.3
148,524.1
149,525.9
150,521.2
150,527.3
147,519.9
147,512.2
155,522.9
147,518.4
150,521.4
155,522.0
153,521.4
150,522.5
154,516.0
151,526.4
153,513.6
152,517.2
153,519.2
152,528.1
155,527.2
150,520.5
156,523.7
152,516.4
155,519.3
155,521.2
154,521.2
152,529.2
155,527.8
153,518.2
154,516.8
156,524.8
154,519.7
155,517.7
154,529.4
153,519.1
160,511.2
153,530.9
154,524.6
160,518.6
154,524.4
155,519.8
155,515.9
157,526.9
156,521.7
157,520.3
155,522.7
159,522.9
156,522.5
156,518.6
155,527.9
155,524.2
156,517.2
156,530.9
156,520.7
156,522.5
158,522.3
157,522.0
158,526.1
158,527.9
157,530.9
158,532.4
157,526.4
156,525.3
159,523.5
161,525.6
161,520.3
157,523.2
160,529.0
158,523.7
158,529.7
160,525.9
157,526.8
159,527.7
157,535.3
157,534.2
161,531.5
162,529.7
158,524.4
157,531.4
156,520.2
162,532.5
160,532.2
160,526.7
156,534.2
160,521.1
159,525.7
159,526.5
160,527.3
157,531.8
160,521.4
160,533.1
159,529.7
158,520.2
160,528.6
160,528.0
159,530.1
159,533.8
158,522.3
160,523.2
154,524.3
159,525.9
156,528.9
162,534.3
159,534.9
159,526.0
161,525.1
160,530.5
159,528.5
162,523.0
160,529.6
158,531.4
160,531.0
160,538.5
158,533.6
156,533.9
156,534.9
159,532.7
157,532.2
161,535.3
159,532.2
162,536.1
158,529.6
158,532.5
157,522.0
159,534.2
160,538.4
157,530.6
156,534.5
159,531.0
159,530.0
157,541.5
161,532.8
156,532.8
160,534.9
161,540.3
159,531.9
158,532.3
161,532.4
156,537.0
159,532.4
155,540.7
160,529.3
159,529.7
156,524.8
160,539.8
158,535.2
162,531.8
156,536.4
160,534.4
156,532.2
160,539.7
155,530.1
156,536.2
163,535.1
158,532.6
163,533.7
157,537.6
155,541.0
158,532.9
157,527.8
157,526.0
157,535.0
156,534.7
156,543.9
160,537.0
160,536.4
157,533.9
158,541.3
154,539.1
156,534.0
157,529.0
156,548.2
157,533.2
158,539.4
156,536.2
156,536.2
156,543.0
158,533.0
155,547.6
159,541.5
159,545.9
155,530.0
155,533.7
156,548.9
156,536.4
153,530.6
151,548.7
157,540.0
155,540.5
155,547.9
155,531.1
157,531.5
154,534.4
154,535.1
151,536.3
156,540.7
155,548.6
154,544.8
152,541.6
151,544.9
155,547.1
153,546.9
153,539.7
154,546.3
157,546.4
151,538.0
150,543.4
150,549.9
152,546.5
152,545.1
150,543.3
151,543.1
152,547.2
151,548.0
152,552.2
145,540.9
154,531.6
154,544.8
147,548.1
149,540.0
153,542.8
148,554.9
152,543.3
148,544.1
153,540.3
147,551.7
149,546.0
150,543.6
144,544.7
151,556.7
149,545.8
151,549.1
149,536.3
147,547.4
145,544.6
151,545.3
145,537.3
148,543.9
146,548.1
148,547.9
148,541.0
146,545.7
147,552.4
145,543.7
149,548.5
143,546.2
143,542.2
143,544.1
150,553.2
148,553.7
145,550.4
145,543.2
142,553.1
142,549.8
146,552.6
145,543.0
145,548.4
142,539.3
145,541.6
140,558.2
141,547.5
143,550.1
141,546.3
144,548.6
142,539.3
141,554.5
141,545.6
143,553.5
142,547.8
143,558.9
143,543.0
147,544.3
138,552.6
